

  OSDN:  DevChannel -   Newsletters -   Shop       	SEARCH: 	 
All OSDN Sites
 
-----------
 
freshmeat
 
Linux.com
 
LinuxGram
 
NewsForge
 
OSDN.com
 
OSDN PriceCompare
 
Slashcode
 
Slashdot
 
SourceForge.net
 

  	 	

      Home |    Privacy Statement |    About   	       	  
  	 
 
      
         Mailing Lists
        Linux
            linux-kernel - General Kernel
  	Archive
    2003 (37413 msgs)
    2002 (72069 msgs)
    2001 (70827 msgs)
    2000 (63461 msgs)
    1999 (60792 msgs)
    1998 (55679 msgs)
    1997 (26913 msgs)
    1996 (12301 msgs)
    1995 (2 msgs)
    1990 (3 msgs)
    1989 (1 msgs)
  	   
      	    

Mail archive - 2002-03

Thread/Subject	Author	Date/Time	  
   RE: Number of loopback devices	Dumitru Ciobarcianu	03/31/2002 23:52:22	  
    [RFC][PATCH] Summary of KL133/KM133 problems w/2.4.18 (screen corruption/MWQ)	Andre Pang	03/31/2002 23:09:26	  
    Linux needs new leadership.	Linus Torvalds	03/31/2002 23:00:00	  
    kernel 2.4.18 exception/bug during cd read operation	Nilmoni Deb	03/31/2002 22:45:15	  
    ECC memory and SMP lockups on Gateway 6400 server	Jason Czerak	03/31/2002 22:16:46	  
   RE: kbdbook.tmpl	Paul Gortmaker	03/31/2002 21:27:52	  
   RE: Does Solaris source license interfere with Linux contributions?	M. Edward Borasky	03/31/2002 19:42:02	  
    Does Solaris source license interfere with Linux contributions?	Michael D. Crawford	03/31/2002 19:16:41	  
    10.100.000 E-MaiLe BeDaVa ReKLaM FiRSaTi!	WEBBEE.COM.TR	03/31/2002 19:04:49	  
    bug with floppy drive	apolon	03/31/2002 19:00:19	  
    [PATCH] d_path() truncation	Jirka Kosina	03/31/2002 18:49:10	  
   RE: -aa VM splitup	Andrea Arcangeli	03/31/2002 18:29:09	  
    [ANNOUNCE] Patch set 2.4.19-pre5-jp9	gmx.de	03/31/2002 17:53:38	  
   RE: -aa VM splitup	Andrew Morton	03/31/2002 17:52:06	  
   RE: [RFC] Define struct page early - uml patch	Daniel Phillips	03/31/2002 17:25:49	  
   RE: Linux 2.4.19-pre5	Andrea Arcangeli	03/31/2002 17:24:00	  
   RE: -aa VM splitup	Andrea Arcangeli	03/31/2002 17:02:07	  
    2.4.18 highmem smp freeze	Thomas Michael Wanka	03/31/2002 17:01:40	  
    [PATCHSET] Linux 2.4.19-pre5-jam2	J.A. Magallon	03/31/2002 16:53:09	  
   RE: Linux 2.4.19-pre5	Andrea Arcangeli	03/31/2002 16:36:41	  
    Number of loopback devices	Dale Amon	03/31/2002 16:30:15	  
   RE: Linux 2.4.19-pre5: hotplug config	Alan Cox	03/31/2002 16:11:04	  
   RE: 2.4.19pre5aa1 and splitted vm-33	Andrea Arcangeli	03/31/2002 16:04:17	  
    [PATCH] PCI fixup for old NCR 53C810 SCSI chips, kernel 2.4.18	Graham Cobb	03/31/2002 16:02:07	  
    [PATCH] Bug in NLS UTF-8 code	Liyang Hu	03/31/2002 16:00:56	  
    2.4.18-xfs and the preemptive patch	niklas	03/31/2002 15:47:43	  
   RE: Linux 2.4.19-pre5	Randy Hron	03/31/2002 15:11:17	  
   RE: Linux needs new leadership.	J.A. Magallon	03/31/2002 14:56:41	  
